,sentence_ID,word,label
0,0,talENtED,B-KPI
1,0,PEOPlE,L-KPI
2,0,We,O
3,0,depend,O
4,0,on,O
5,0,the,O
6,0,skills,O
7,0,and,O
8,0,creativity,O
9,0,of,O
10,0,our,O
11,0,employees,U-KPI
12,0,to,O
13,0,discover,O
14,0,",",O
15,0,develop,O
16,0,and,O
17,0,produce,O
18,0,new,O
19,0,medicines,O
20,0,",",O
21,0,and,O
22,0,deliver,O
23,0,them,O
24,0,to,O
25,0,patients,O
26,0,.,O
27,1,Our,O
28,1,environment,O
29,1,We,O
30,1,live,O
31,1,in,O
32,1,an,O
33,1,era,O
34,1,of,O
35,1,amazing,O
36,1,medical,O
37,1,innovation,O
38,1,",",O
39,1,driven,O
40,1,by,O
41,1,better,B-KPI
42,1,understanding,L-KPI
43,1,of,O
44,1,the,O
45,1,genetic,O
46,1,and,O
47,1,biological,O
48,1,roots,O
49,1,of,O
50,1,disease,O
51,1,",",O
52,1,and,O
53,1,surging,O
54,1,use,O
55,1,of,O
56,1,data,O
57,1,analytics,O
58,1,and,O
59,1,digital,O
60,1,technology,O
61,1,in,O
62,1,science,O
63,1,and,O
64,1,healthcare,O
65,1,.,O
66,2,We,O
67,2,aspire,O
68,2,to,O
69,2,be,O
70,2,a,O
71,2,leader,U-KPI
72,2,on,O
73,2,environmental,U-KPI
74,2,",",O
75,2,social,U-KPI
76,2,and,O
77,2,governance,B-KPI
78,2,topics,L-KPI
79,2,and,O
80,2,to,O
81,2,build,O
82,2,trust,O
83,2,with,O
84,2,society,U-KPI
85,2,.,O
86,3,Thank,O
87,3,you,O
88,3,for,O
89,3,taking,O
90,3,the,O
91,3,time,O
92,3,to,O
93,3,learn,O
94,3,more,O
95,3,about,O
96,3,how,O
97,3,Novartis,U-PERSON
98,3,continues,O
99,3,to,O
100,3,make,O
101,3,meaningful,O
102,3,progress,O
103,3,on,O
104,3,environ-,B-KPI
105,3,mental,L-KPI
106,3,",",O
107,3,social,U-KPI
108,3,and,O
109,3,governance,U-KPI
110,3,(,O
111,3,ESG,U-KPI
112,3,),O
113,3,topics,U-KPI
114,3,.,O
115,4,Our,O
116,4,ESG,U-KPI
117,4,-,O
118,4,related,B-KPI
119,4,commitments,L-KPI
